PM2_5,PM10,NO,NO2,NH3,CO,SO2,O3
106,177.5,2.97,48.65,16.98,0.05,11.32,39.22
99.75,173.75,3.72,56.22,17.52,0.1,9.58,27.95
90,149,2.3,44.67,18.88,0.1,9.3,29.38
109,162,1.6,52,18.07,0.1,10.15,24.5
126.5,178.25,9.73,76.55,19.05,0.1,9.5,8.83
135.75,191.5,9.05,68.7,18.7,0.08,8.5,10.3
140,188.5,8.53,61.45,26.55,0.03,6.68,7.33
138.5,180,12.68,67.05,30.4,0.37,4.53,5.88
140,191.75,12.97,70.55,34.05,0.23,2.68,5.9
129,180,15.4,64.35,22.8,1.47,6.02,5.9
122,174.25,9.98,49.45,18.9,0.62,7.65,6.38
117.25,174.5,7.23,42.4,23.42,0.52,8.65,11.28
108.5,170.5,3.15,28.05,21.65,0.5,7.78,34.77
91.25,152.25,2.43,21.43,18.15,0.25,7.45,55.37
67.25,112.75,2.6,20.38,20.25,0.05,6.43,68.6
37.75,66.25,67.37,87.2,17.72,0.1,6.42,79.4
36.75,61.25,3,24.4,20.5,0.08,5.25,84.75
36.75,69.75,3.22,24.88,16.05,0.1,7.62,95.55
39,66,1.45,16.5,17.03,0.1,9.53,110.25
41,62.5,1.62,22.03,20.15,0.15,18.82,121.05
43.25,75.25,3.08,43.45,18.1,0.15,8.93,88.7
56.25,108.75,2.1,26,31.3,0.05,3.7,56.35
82.5,112.25,1.65,29.35,25.65,0.15,3.2,43.62
108.25,133,3.68,31.35,16.57,0.15,7.42,27.42
108.75,146.75,3.58,34.22,16.48,0.2,6.73,23.5
77.75,112,3.12,32.4,13.25,0.08,7,22.53
70.25,105.5,3.5,50.27,14.33,0.05,7.43,10.28
81.25,128.5,5.15,48.97,14.62,0.03,6.85,9.8
94.75,144.5,16.38,63.47,16.87,0,6.67,5.88
92.5,132,21.2,72.75,20.45,0.05,6.03,3.93
77.75,121.75,14.67,59.8,23.83,0.6,4.13,4.4
72.5,107,2.47,39.07,21.17,0.63,3.95,8.83
65.75,95.75,5.78,38.67,28.92,0.22,1.1,9.3
58,77.25,2.45,30.1,13.62,0.2,4.1,11.75
53.75,66.75,3.82,26.55,12.88,0.05,7.12,23.02
49.25,61.5,2.83,19.05,14.25,0.03,7.17,32.82
46.5,68.75,1.7,13.42,15.65,0.08,6.78,55.85
45.25,77.25,3.55,14.85,21.78,0.1,8,74
54.75,84.25,65.22,89.15,12.17,0.13,6.8,113.2
55,95.75,1.45,19,14.78,0.1,6.7,123.98
59.5,89,2.05,18.35,13.05,0.1,6.98,125.9
63,93.25,2.6,28.1,17,0.1,6.75,131.32
66.75,110.25,0.97,19.58,20.72,0.28,4.93,126.92
64.5,108,1.5,25.57,15.5,0.18,6.2,83.3
78,144,3.95,43.13,11.58,0.1,6.12,49.97
71.5,148,3.83,27.17,14.37,0.1,5.42,30.38
62.5,98.5,2.95,30.07,14.8,0.1,5.32,20.58
63.75,88,1.75,21.55,16.3,0.1,4.75,23.53
53.25,70.25,1.5,18.42,16.73,0.05,4.23,28.92
51,71,1.28,17.05,17.12,0.03,3.98,30.87
51.25,72.5,10.42,63.05,15.72,0.05,4.52,5.38
56.75,85,3.43,38.45,16.45,0.03,4.37,12.28
71,91,2.15,39.87,15.35,0.03,4.85,4.88
74.25,95.5,4.02,40.23,15.65,0.03,5.7,6.88
84,109,4.83,40.8,16.72,0.03,6.75,6.85
73.25,102.5,3.17,30.7,17.2,0.03,5.6,11.75
61,86.5,7.3,32.75,17.72,0.08,4.92,13.23
71,99.75,5.7,32.35,17.48,0.03,4.22,27.45
81.25,104.75,2.95,16.9,18.77,0.1,4.07,49
74.75,95.75,5.3,26.57,19.1,0.1,5.12,61.72
70,97.25,2.45,20.58,25.7,0.1,6.05,79.35
57,87.25,65.38,84.47,13.8,0.1,6.45,98
54.75,87.75,1.78,15.9,20.45,0.1,6.25,103.43
61,90.25,1.77,21.45,21.83,0.1,6.27,109.3
69.5,98.5,1.38,20.82,22.32,0.1,6.3,103.88
60.75,95.75,1.93,18.12,21.33,0.1,7,93.6
71.75,111,2.8,27.17,24.72,0.23,7.95,78.38
89,142.25,2.45,32.45,25.88,0.65,8.98,66.15
88,140,2,27.55,24.07,0.65,6.93,62.7
81.75,117.75,1.8,25.28,20.42,0.28,4.58,57.82
73.75,104,1.75,20.5,19.2,0.25,5.75,64.2
76.25,98.5,1.15,12.03,17.53,0.13,6.85,82.33
68,91,1.12,12.17,17.7,0.1,7.9,73
70.5,94.25,0.85,16.33,18.15,0.08,6,56.85
70,98,0.6,25.17,17.97,0.1,4.75,41.68
75.25,101,1.42,24.3,20.45,0.1,4.17,35.77
79.75,106.75,0.73,22.02,23.22,0.13,1.53,45.57
71,96.25,0.23,14.58,15.03,0.13,3.77,64.65
68,95,1.52,26.92,14.73,0.1,4.27,47.05
77.5,126.75,2.05,18.2,17.95,0.1,5.68,57.32
79.5,185.25,1.82,14.62,19.67,0.1,8.8,69.07
